ident,type,name,coordinates,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code
03N,small_airport,Utirik Airport,"169.852005, 11.222",4,OC,MH,MH-UTI,Utirik Island,K03N,UTK,03N
07FA,small_airport,Ocean Reef Club Airport,"-80.274803161621, 25.325399398804",8,NA,US,US-FL,Key Largo,07FA,OCA,07FA
0AK,small_airport,Pilot Station Airport,"-162.899994, 61.934601",305,NA,US,US-AK,Pilot Station,,PQS,0AK
0CO2,small_airport,Buckhorn Ranch Airport,"-106.93282, 38.8518981934",8980,NA,US,US-CO,Crested Butte,0CO2,CSE,0CO2
0TE7,small_airport,LBJ Ranch Airport,"-98.62249755859999, 30.251800537100003",1515,NA,US,US-TX,Johnson City,0TE7,JCY,0TE7
13MA,small_airport,Metropolitan Airport,"-72.31140136719999, 42.223300933800004",418,NA,US,US-MA,Palmer,13MA,PMX,13MA
16A,small_airport,Nunapitchuk Airport,"-162.440454, 60.905591",12,NA,US,US-AK,Nunapitchuk,PPIT,NUP,16A
19AK,small_airport,Icy Bay Airport,"-141.662002563, 59.96900177",50,NA,US,US-AK,Icy Bay,19AK,ICY,19AK
1KC,small_airport,Kalakaket Creek AS Airport,"-156.820392609, 64.4166256967",1598,NA,US,US-AK,Kalakaket Creek,1KC,KKK,1KC
1O6,small_airport,Dunsmuir Muni-Mott Airport,"-122.272003, 41.263199",3258,NA,US,US-CA,Dunsmuir,KMHS,MHS,1O6
2AK,small_airport,Lime Village Airport,"-155.440002441, 61.3591003418",552,NA,US,US-AK,Lime Village,2AK,LVD,2AK
2AK6,small_airport,Hog River Airport,"-155.6690063, 66.2161026",534,NA,US,US-AK,Hogatza,2AK6,HGZ,2AK6
2IG4,small_airport,Ed-Air Airport,"-87.4997024536, 38.851398468",426,NA,US,US-IN,Oaktown,I20,OTN,I20
2K5,small_airport,Telida Airport,"-153.26899719238, 63.393901824951",650,NA,US,US-AK,Telida,2K5,TLF,2K5
2TE0,small_airport,Eagle Air Park,"-95.579696655273, 28.982200622559",15,NA,US,US-TX,Brazoria,2TE0,BZT,2TE0
38WA,small_airport,Blakely Island Airport,"-122.825996399, 48.578998565700005",66,NA,US,US-WA,Blakely Island,38WA,BYW,38WA
3AK5,small_airport,Drift River Airport,"-152.162002563, 60.588901519800004",30,NA,US,US-AK,Kenai,3AK5,DRF,3AK5
3IS8,small_airport,Rinkenberger Restricted Landing Area,"-89.61569976810001, 41.230899810800004",808,NA,US,US-IL,Bradford,3IS8,BDF,3IS8
3VS,small_airport,Roy Otten Memorial Airfield,"-92.875198364258, 38.427799224854",1030,NA,US,US-MO,Versailles,3VS,VRS,3VS
4A2,small_airport,Atmautluak Airport,"-162.272995, 60.866699",17,NA,US,US-AK,Atmautluak,,ATT,4A2
4AK,small_airport,Livengood Camp Airport,"-148.6534, 65.467",425,NA,US,US-AK,Livengood,4AK,LIV,4AK
4K0,small_airport,Pedro Bay Airport,"-154.12399292, 59.7896003723",45,NA,US,US-AK,Pedro Bay,4K0,PDB,4K0
4K5,small_airport,Ouzinkie Airport,"-152.496715, 57.925362",55,NA,US,US-AK,Ouzinkie,,KOZ,4K5
4KA,small_airport,Tununak Airport,"-165.27200317383, 60.575500488281",14,NA,US,US-AK,Tununak,4KA,TNK,4KA
